,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID,testDate,Season
275,X13289,1-25-93,25,January,1993,.,61.351,-54.506,288,1993-01-25,winter
276,X13292,1-25-93,25,January,1993,.,64.639,-60.108,289,1993-01-25,winter
277,X13289,1-31-93,31,January,1993,.,62.171,-54.965,290,1993-01-31,winter
278,X13292,1-31-93,31,January,1993,.,63.945,-59.947,291,1993-01-31,winter
279,X10707,2-03-93,3,February,1993,14:12,62.15,-63.333,292,1993-02-03,winter
280,X13284,2-05-93,5,February,1993,.,61.135,-54.722,293,1993-02-05,winter
281,X13289,2-06-93,6,February,1993,.,62.214,-55.996,294,1993-02-06,winter
282,X13292,2-06-93,6,February,1993,.,63.381,-61.481,295,1993-02-06,winter
283,X10700,2-06-93,6,February,1993,19:19,63.85,-65.183,296,1993-02-06,winter
284,X10707,2-08-93,8,February,1993,14:04,61.5,-63.517,297,1993-02-08,winter
285,X10709,2-08-93,8,February,1993,12:25,64.5,-65.75,298,1993-02-08,winter
286,X13284,2-09-93,9,February,1993,.,61.103,-53.936,299,1993-02-09,winter
287,X13289,2-12-93,12,February,1993,.,62.137,-56.343,300,1993-02-12,winter
288,X13292,2-12-93,12,February,1993,.,62.886,-61.234,301,1993-02-12,winter
289,X13284,2-13-93,13,February,1993,.,60.561,-51.826,302,1993-02-13,winter
290,X10707,2-13-93,13,February,1993,12:16,61.517,-62.233,303,1993-02-13,winter
291,X13284,2-17-93,17,February,1993,.,61.868,-54.466,304,1993-02-17,winter
292,X10707,2-18-93,18,February,1993,15:30,61.983,-64.183,305,1993-02-18,winter
293,X13289,2-18-93,18,February,1993,.,62.712,-59.112,306,1993-02-18,winter
294,X13284,2-21-93,21,February,1993,.,63.035,-56.15,307,1993-02-21,winter
295,X10707,2-23-93,23,February,1993,13:43,61.15,-63.533,308,1993-02-23,winter
296,X13292,2-24-93,24,February,1993,.,62.298,-62.613,309,1993-02-24,winter
297,X13289,2-24-93,24,February,1993,.,62.395,-60.621,310,1993-02-24,winter
298,X13284,2-25-93,25,February,1993,.,63.941,-56.885,311,1993-02-25,winter
299,X10707,2-28-93,28,February,1993,13:38,61.683,-63.7,312,1993-02-28,winter
300,X13284,3-01-93,1,March,1993,.,64.69,-58.59,313,1993-03-01,winter
301,X13292,3-02-93,2,March,1993,.,61.825,-63.687,314,1993-03-02,winter
302,X13289,3-02-93,2,March,1993,.,62.379,-61.703,315,1993-03-02,winter
303,X10700,3-03-93,3,March,1993,19:21,63.867,-65.233,316,1993-03-03,winter
304,X10707,3-05-93,5,March,1993,15:09,61.65,-64.15,317,1993-03-05,winter
305,X13284,3-05-93,5,March,1993,.,64.793,-60.336,318,1993-03-05,winter
306,X13292,3-08-93,8,March,1993,.,62.202,-63.659,319,1993-03-08,winter
307,X10707,3-10-93,10,March,1993,17:52,61.617,-64.017,320,1993-03-10,winter
308,X10709,3-10-93,10,March,1993,17:51,64.5,-65.783,321,1993-03-10,winter
309,X13284,3-13-93,13,March,1993,.,64.058,-58.879,322,1993-03-13,winter
310,X13289,3-14-93,14,March,1993,.,62.448,-63.248,323,1993-03-14,winter
311,X13292,3-14-93,14,March,1993,.,62.711,-62.946,324,1993-03-14,winter
312,X10703,3-14-93,14,March,1993,15:26,64.167,-65.4,325,1993-03-14,winter
313,X10707,3-15-93,15,March,1993,16:53,61.083,-63.483,326,1993-03-15,winter
314,X10709,3-15-93,15,March,1993,11:35,64.5,-65.783,327,1993-03-15,winter
315,X13284,3-17-93,17,March,1993,.,63.695,-56.369,328,1993-03-17,winter
316,X10700,3-18-93,18,March,1993,19:39,63.867,-65.117,329,1993-03-18,winter
